oid	kind	category	name	args	return	comment	file
58256	f	exchange	dune_exchange_update_recurring_sell_order	in_exchange_id bigint, in_expiration_time bigint, in_access_point_id bigint, in_owner_id bigint, in_item_id bigint, in_increment bigint, in_max_count bigint, in_category_mask integer, in_category_depth smallint, in_durability_cur real, in_durability_max real, in_item_price bigint, in_wear_normalized_item_price bigint, in_quality_level bigint	bigint		functions/exchange/dune_exchange_update_recurring_sell_order__14args.sql
58257	f	lookup	dune_get_account_id_by_user	in_user text	bigint		functions/lookup/dune_get_account_id_by_user__1args.sql
58258	f	currency	edit_guild_description	in_guild_id bigint, in_guild_desc text	void		functions/currency/edit_guild_description__2args.sql
58259	f	encryption	encrypt_user_data	in_data text	bytea		functions/encryption/encrypt_user_data__1args.sql
58260	f	lookup	fetch_resourcefield_state	in_map text, in_dimension_index integer, in_field_kind_id smallint	TABLE(field_id bigint, spawn_time double precision, value_remaining bigint)		functions/lookup/fetch_resourcefield_state__3args.sql
58261	f	lookup	fetch_server_spice_field_manifest	in_server_id text	TABLE(spicefield_type_id integer, inactive_fields_of_type integer, requested_spawned_of_type integer)		functions/lookup/fetch_server_spice_field_manifest__1args.sql
58262	f	lookup	fetch_spicefie_id_types_with_global_info	in_map_name text, in_dimension_index integer	TABLE(spicefield_type_id integer, max_globally_active integer, max_globally_primed integer, current_globally_active integer, current_globally_primed integer, is_spawning_active boolean, field_type text)		functions/lookup/fetch_spicefie_id_types_with_global_info__2args.sql
58263	f	actors	find_actor_by_id	in_id bigint	dune.actorspawninfo		functions/actors/find_actor_by_id__1args.sql
58264	f	misc	fix_broken_harkonnen_players_due_to_fooled_thufir		void		functions/misc/fix_broken_harkonnen_players_due_to_fooled_thufir__0args.sql
58265	f	anticheat	flag_player_as_cheater	in_account_id bigint, in_cheat_type dune.cheat_type_enum	void		functions/anticheat/flag_player_as_cheater__2args.sql
58266	f	actors	gather_ownerless_actors_on_server	in_server_info dune.serverinfo	SETOF dune.actorspawninfo		functions/actors/gather_ownerless_actors_on_server__1args.sql
58267	f	actors	gather_player_linked_actors	in_player_pawn_id bigint	SETOF dune.actorspawninfo		functions/actors/gather_player_linked_actors__1args.sql
58268	f	actors	gather_removed_accounts_that_left_orphaned_actors_on_server	in_server_info dune.serverinfo	TABLE(account_id bigint, removal_reason text, actors_left dune.orphanedplayeractorinfo[])		functions/actors/gather_removed_accounts_that_left_orphaned_actors_on_server__1args.sql
58269	f	actors	get_account_actor_ids	in_account_id bigint	dune.playeractorids		functions/actors/get_account_actor_ids__1args.sql
58270	f	server	get_active_servers_for_gateway		TABLE(server_id text, map text, partition_id bigint, dimension_index integer, game_addr inet, game_port integer, revision integer)	Used by the gateway service to monitor for active servers.	functions/server/get_active_servers_for_gateway__0args.sql
58271	f	actors	get_actor_server_info	in_id bigint	dune.serverinfo		functions/actors/get_actor_server_info__1args.sql
58272	f	permission	get_actors_location_data_with_permission	in_actor_ids bigint[]	SETOF dune.actorpermissionlocationdata		functions/permission/get_actors_location_data_with_permission__1args.sql
58273	f	lookup	get_all_demo_players		TABLE(fls_ids text)		functions/lookup/get_all_demo_players__0args.sql
58274	f	faction	get_all_faction_members		TABLE(player_id bigint, fls_id text, faction_id smallint)		functions/faction/get_all_faction_members__0args.sql
58275	f	lookup	get_all_guild_members		TABLE(player_id bigint, fls_id text, guild_id bigint)		functions/lookup/get_all_guild_members__0args.sql
58276	f	lookup	get_all_online_or_recently_disconnected_player_online_state		SETOF dune.playeronlinestateentry		functions/lookup/get_all_online_or_recently_disconnected_player_online_state__0args.sql
58277	f	lookup	get_all_parties		TABLE(party_id bigint, player_id bigint, player_name text, party_leader_id bigint, platform_session_id text, platform_name text, platform_players_count integer)		functions/lookup/get_all_parties__0args.sql
